date,scale,type,open,close,adds,drop,cin,cout,netchg
1988-10-01,upmus,props,12,1,0,0,4,4,11
1988-10-01,upmus,rooms,1561,124,0,0,496,460,1473
1988-10-01,upuus,props,1,0,0,0,0,2,-1
1988-10-01,upuus,rooms,180,0,0,0,0,278,-98
1988-10-01,upsus,props,7,0,0,0,2,2,7
1988-10-01,upsus,rooms,2933,0,0,0,397,300,3030
1988-11-01,ecous,props,19,0,0,0,24,16,27
1988-11-01,ecous,rooms,1491,0,0,0,2267,1818,1940
1988-11-01,indus,props,9,0,0,0,11,24,-4
1988-11-01,indus,rooms,900,0,0,0,1266,3381,-1215
1988-11-01,luxus,props,0,0,0,0,0,0,0
1988-11-01,luxus,rooms,0,0,0,0,0,0,0
1988-11-01,midus,props,9,0,0,0,10,8,11
1988-11-01,midus,rooms,720,0,0,0,1702,1387,1035
1988-11-01,upmus,props,9,0,0,0,4,1,12
1988-11-01,upmus,rooms,1004,0,0,0,491,122,1373
1988-11-01,upuus,props,4,0,0,0,2,4,2
1988-11-01,upuus,rooms,890,0,0,0,651,557,984
1988-11-01,upsus,props,4,0,0,0,2,0,6
1988-11-01,upsus,rooms,509,0,0,0,888,0,1397
1988-12-01,ecous,props,23,1,0,0,25,37,10
1988-12-01,ecous,rooms,1899,156,0,0,2575,2681,1637
1988-12-01,indus,props,14,1,1,0,40,19,35
1988-12-01,indus,rooms,1213,132,20,0,2631,2412,1320
1988-12-01,luxus,props,1,0,0,0,1,1,1
1988-12-01,luxus,rooms,311,0,0,0,515,515,311
1988-12-01,midus,props,8,1,0,1,6,20,-8
1988-12-01,midus,rooms,1039,155,0,48,950,1862,-76
1988-12-01,upmus,props,6,0,0,0,7,2,11
1988-12-01,upmus,rooms,740,0,0,0,1074,212,1602
1988-12-01,upuus,props,4,0,0,0,0,1,3
1988-12-01,upuus,rooms,1362,0,0,0,0,143,1219
1988-12-01,upsus,props,4,0,0,0,1,0,5
1988-12-01,upsus,rooms,631,0,0,0,80,0,711
1989-01-01,ecous,props,24,1,0,0,28,37,14
1989-01-01,ecous,rooms,1936,85,0,0,2596,3214,1233
1989-01-01,indus,props,27,2,2,0,25,24,28
1989-01-01,indus,rooms,1857,471,113,0,2254,2576,1177
1989-01-01,luxus,props,2,0,0,1,0,0,1
1989-01-01,luxus,rooms,647,0,0,10,0,0,637
1989-01-01,midus,props,5,0,0,0,17,10,12
1989-01-01,midus,rooms,403,0,0,0,1786,1086,1103
1989-01-01,upmus,props,7,0,0,0,7,4,10
