sourcemonth,srcm_month,open_year,segment,hori,horitext,rmsincns,rmsfnlpl,rmsplnnn,rmstotal,open,close,adds,drop,cin,cout,netchg
2016-09-01,Sep,2017-01-01,indus,1,Yr1 (Next year),10518,10408,3251,24177,9699,7528,3285,2704,42345,43956,1141
2016-09-01,Sep,2017-01-01,totus,1,Yr1 (Next year),107793,56241,24620,188654,107093,21302,7827,9022,136378,136378,84596
2016-09-01,Sep,2018-01-01,luxus,2,Yr2 (Year after next),1419,1472,1199,4090,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,upuus,2,Yr2 (Year after next),6779,8606,3912,19297,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,upsus,2,Yr2 (Year after next),4995,43013,13482,61490,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,upmus,2,Yr2 (Year after next),1905,48033,28504,78442,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,midus,2,Yr2 (Year after next),0,5845,11847,17692,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,ecous,2,Yr2 (Year after next),0,85,826,911,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,indus,2,Yr2 (Year after next),4659,3224,5053,12936,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2018-01-01,totus,2,Yr2 (Year after next),19757,110278,64823,194858,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,luxus,3,Yr3 and later,285,1663,923,2871,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,upuus,3,Yr3 and later,542,4641,2407,7590,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,upsus,3,Yr3 and later,537,9751,9757,20045,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,upmus,3,Yr3 and later,112,3081,7964,11157,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,midus,3,Yr3 and later,0,1422,1465,2887,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,ecous,3,Yr3 and later,0,0,207,207,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,indus,3,Yr3 and later,0,380,5742,6122,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2019-01-01,totus,3,Yr3 and later,1476,20938,28465,50879,NA,NA,NA,NA,NA,NA,NA
2017-09-01,Sep,2017-01-01,luxus,0,Current year,1616,0,0,1616,2952,1297,254,107,1849,1838,1813
2017-09-01,Sep,2017-01-01,upuus,0,Current year,5012,0,0,5012,11264,736,1280,1280,10464,9026,11966
